D,N,ranks,category,name,total_ms,percent
30,1024,1,api,cudaMemcpyFromSymbol,7.3830,37.00
30,1024,1,api,cudaMemcpy,5.5726,27.90
30,1024,1,api,cudaLaunchKernel,4.5291,22.70
30,1024,1,api,cudaEventRecord,1.0391,5.20
30,1024,1,api,cudaMalloc,0.3786,1.90
30,1024,1,api,cudaFree,0.2907,1.50
30,1024,1,api,cudaEventCreate,0.2730,1.40
30,1024,1,api,cuGetProcAddress_v2,0.1686,0.80
30,1024,1,api,cudaEventDestroy,0.1664,0.80
30,1024,1,api,cudaDeviceSynchronize,0.1299,0.70
30,1024,1,api,cudaMemset,0.0092,0.00
30,1024,1,api,cuModuleGetLoadingMode,0.0046,0.00
30,1024,1,api,cudaEventSynchronize,0.0039,0.00
30,1024,1,api,cuInit,0.0037,0.00
30,1024,1,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1.0045,52.70
30,1024,1,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",0.3300,17.30
30,1024,1,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.1841,9.70
30,1024,1,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",0.1514,7.90
30,1024,1,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1257,6.60
30,1024,1,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",0.1049,5.50
30,1024,1,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",0.0039,0.20
30,1024,1,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0012,0.10
30,1024,2,api,cudaMemcpyFromSymbol,12.6224,37.00
30,1024,2,api,cudaLaunchKernel,7.2021,21.10
30,1024,2,api,cudaMemcpy,4.9060,14.40
30,1024,2,api,cudaMalloc,4.6215,13.60
30,1024,2,api,cudaFree,2.6267,7.70
30,1024,2,api,cudaEventRecord,1.1917,3.50
30,1024,2,api,cudaEventCreate,0.3882,1.10
30,1024,2,api,cudaEventDestroy,0.2367,0.70
30,1024,2,api,cudaDeviceSynchronize,0.1363,0.40
30,1024,2,api,cuGetProcAddress_v2,0.1333,0.40
30,1024,2,api,cudaMemset,0.0117,0.00
30,1024,2,api,cudaEventSynchronize,0.0062,0.00
30,1024,2,api,cuModuleGetLoadingMode,0.0048,0.00
30,1024,2,api,cuInit,0.0032,0.00
30,1024,2,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1.0445,53.90
30,1024,2,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",0.3274,16.90
30,1024,2,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.1829,9.40
30,1024,2,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",0.1500,7.70
30,1024,2,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1245,6.40
30,1024,2,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",0.1045,5.40
30,1024,2,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",0.0037,0.20
30,1024,2,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0012,0.10
30,1024,4,api,cudaMemcpyFromSymbol,14.5857,50.90
30,1024,4,api,cudaLaunchKernel,5.7979,20.20
30,1024,4,api,cudaMemcpy,4.9060,17.10
30,1024,4,api,cudaEventRecord,1.2434,4.30
30,1024,4,api,cudaMalloc,0.7349,2.60
30,1024,4,api,cudaFree,0.4855,1.70
30,1024,4,api,cudaEventCreate,0.3726,1.30
30,1024,4,api,cuGetProcAddress_v2,0.1889,0.70
30,1024,4,api,cudaEventDestroy,0.1803,0.60
30,1024,4,api,cudaDeviceSynchronize,0.1329,0.50
30,1024,4,api,cudaMemset,0.0154,0.10
30,1024,4,api,cuModuleGetLoadingMode,0.0042,0.00
30,1024,4,api,cudaEventSynchronize,0.0040,0.00
30,1024,4,api,cuInit,0.0035,0.00
30,1024,4,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",0.9815,52.30
30,1024,4,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",0.3272,17.40
30,1024,4,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.1829,9.80
30,1024,4,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",0.1501,8.00
30,1024,4,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1250,6.70
30,1024,4,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",0.1040,5.50
30,1024,4,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",0.0039,0.20
30,1024,4,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0012,0.10
30,1024,8,api,cudaMemcpyFromSymbol,12.9118,39.20
30,1024,8,api,cudaLaunchKernel,10.8409,32.90
30,1024,8,api,cudaMemcpy,4.8812,14.80
30,1024,8,api,cudaEventRecord,1.2295,3.70
30,1024,8,api,cudaFree,1.1648,3.50
30,1024,8,api,cudaMalloc,0.9600,2.90
30,1024,8,api,cudaEventCreate,0.3769,1.10
30,1024,8,api,cudaEventDestroy,0.2013,0.60
30,1024,8,api,cuGetProcAddress_v2,0.1785,0.50
30,1024,8,api,cudaDeviceSynchronize,0.1423,0.40
30,1024,8,api,cudaMemset,0.0112,0.00
30,1024,8,api,cudaEventSynchronize,0.0045,0.00
30,1024,8,api,cuModuleGetLoadingMode,0.0044,0.00
30,1024,8,api,cuInit,0.0038,0.00
30,1024,8,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1.0010,52.80
30,1024,8,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",0.3273,17.30
30,1024,8,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.1828,9.60
30,1024,8,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",0.1500,7.90
30,1024,8,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1246,6.60
30,1024,8,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",0.1044,5.50
30,1024,8,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",0.0039,0.20
30,1024,8,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0012,0.10
30,1024,16,api,cudaMemcpyFromSymbol,15.6308,54.90
30,1024,16,api,cudaLaunchKernel,4.8229,16.90
30,1024,16,api,cudaMemcpy,4.7055,16.50
30,1024,16,api,cudaEventRecord,1.2430,4.40
30,1024,16,api,cudaFree,0.8300,2.90
30,1024,16,api,cudaMalloc,0.4627,1.60
30,1024,16,api,cudaEventCreate,0.3121,1.10
30,1024,16,api,cudaEventDestroy,0.1728,0.60
30,1024,16,api,cuGetProcAddress_v2,0.1584,0.60
30,1024,16,api,cudaDeviceSynchronize,0.1326,0.50
30,1024,16,api,cudaMemset,0.0114,0.00
30,1024,16,api,cudaEventSynchronize,0.0046,0.00
30,1024,16,api,cuModuleGetLoadingMode,0.0046,0.00
30,1024,16,api,cuInit,0.0041,0.00
30,1024,16,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",0.9838,52.40
30,1024,16,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",0.3264,17.40
30,1024,16,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.1824,9.70
30,1024,16,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",0.1498,8.00
30,1024,16,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1243,6.60
30,1024,16,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",0.1046,5.60
30,1024,16,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",0.0039,0.20
30,1024,16,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0012,0.10
30,2097152,1,api,cudaDeviceSynchronize,938.5698,66.20
30,2097152,1,api,cudaMemcpy,449.9379,31.80
30,2097152,1,api,cudaFree,10.2690,0.70
30,2097152,1,api,cudaMemcpyFromSymbol,9.4427,0.70
30,2097152,1,api,cudaLaunchKernel,5.0599,0.40
30,2097152,1,api,cudaMalloc,1.9327,0.10
30,2097152,1,api,cudaEventRecord,1.0098,0.10
30,2097152,1,api,cudaEventCreate,0.3041,0.00
30,2097152,1,api,cudaEventDestroy,0.1680,0.00
30,2097152,1,api,cuGetProcAddress_v2,0.1420,0.00
30,2097152,1,api,cudaMemset,0.0102,0.00
30,2097152,1,api,cudaEventSynchronize,0.0063,0.00
30,2097152,1,api,cuInit,0.0040,0.00
30,2097152,1,api,cuModuleGetLoadingMode,0.0038,0.00
30,2097152,1,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",359.4300,38.20
30,2097152,1,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",338.4891,35.90
30,2097152,1,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",222.0195,23.60
30,2097152,1,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",16.1105,1.70
30,2097152,1,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",3.0931,0.30
30,2097152,1,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,2.3245,0.20
30,2097152,1,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2160,0.00
30,2097152,1,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1383,0.00
30,2097152,1,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,2097152,2,api,cudaDeviceSynchronize,927.6577,61.80
30,2097152,2,api,cudaMemcpy,528.0973,35.20
30,2097152,2,api,cudaMemcpyFromSymbol,20.0431,1.30
30,2097152,2,api,cudaFree,10.3009,0.70
30,2097152,2,api,cudaLaunchKernel,8.2347,0.50
30,2097152,2,api,cudaMalloc,5.6912,0.40
30,2097152,2,api,cudaEventRecord,1.0895,0.10
30,2097152,2,api,cudaEventCreate,0.4184,0.00
30,2097152,2,api,cudaEventDestroy,0.2024,0.00
30,2097152,2,api,cuGetProcAddress_v2,0.1334,0.00
30,2097152,2,api,cudaMemset,0.0198,0.00
30,2097152,2,api,cudaEventSynchronize,0.0058,0.00
30,2097152,2,api,cuModuleGetLoadingMode,0.0042,0.00
30,2097152,2,api,cuInit,0.0039,0.00
30,2097152,2,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",359.7731,38.60
30,2097152,2,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",327.9647,35.20
30,2097152,2,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",221.5475,23.80
30,2097152,2,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",16.3294,1.80
30,2097152,2,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",3.0899,0.30
30,2097152,2,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,2.2977,0.20
30,2097152,2,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2165,0.00
30,2097152,2,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1392,0.00
30,2097152,2,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0014,0.00
30,2097152,4,api,cudaDeviceSynchronize,941.2011,71.80
30,2097152,4,api,cudaMemcpy,331.5000,25.30
30,2097152,4,api,cudaMemcpyFromSymbol,14.7915,1.10
30,2097152,4,api,cudaFree,10.6549,0.80
30,2097152,4,api,cudaLaunchKernel,6.0481,0.50
30,2097152,4,api,cudaMalloc,5.4275,0.40
30,2097152,4,api,cudaEventRecord,1.0679,0.10
30,2097152,4,api,cudaEventCreate,0.3176,0.00
30,2097152,4,api,cuGetProcAddress_v2,0.1683,0.00
30,2097152,4,api,cudaEventDestroy,0.1610,0.00
30,2097152,4,api,cudaMemset,0.0119,0.00
30,2097152,4,api,cudaEventSynchronize,0.0055,0.00
30,2097152,4,api,cuModuleGetLoadingMode,0.0041,0.00
30,2097152,4,api,cuInit,0.0031,0.00
30,2097152,4,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",359.2701,38.00
30,2097152,4,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",340.8739,36.10
30,2097152,4,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",222.5678,23.60
30,2097152,4,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",16.2394,1.70
30,2097152,4,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",3.0875,0.30
30,2097152,4,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,2.3191,0.20
30,2097152,4,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2165,0.00
30,2097152,4,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1389,0.00
30,2097152,4,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,2097152,8,api,cudaDeviceSynchronize,939.0340,72.10
30,2097152,8,api,cudaMemcpy,323.7643,24.90
30,2097152,8,api,cudaMemcpyFromSymbol,18.8386,1.40
30,2097152,8,api,cudaFree,11.8425,0.90
30,2097152,8,api,cudaLaunchKernel,5.2492,0.40
30,2097152,8,api,cudaMalloc,1.7964,0.10
30,2097152,8,api,cudaEventRecord,1.0798,0.10
30,2097152,8,api,cudaEventCreate,0.2914,0.00
30,2097152,8,api,cudaEventDestroy,0.1583,0.00
30,2097152,8,api,cuGetProcAddress_v2,0.1583,0.00
30,2097152,8,api,cudaMemset,0.0116,0.00
30,2097152,8,api,cudaEventSynchronize,0.0077,0.00
30,2097152,8,api,cuInit,0.0040,0.00
30,2097152,8,api,cuModuleGetLoadingMode,0.0040,0.00
30,2097152,8,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",359.2150,38.10
30,2097152,8,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",339.8396,36.10
30,2097152,8,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",221.5344,23.50
30,2097152,8,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",16.2124,1.70
30,2097152,8,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",3.0874,0.30
30,2097152,8,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,2.3162,0.20
30,2097152,8,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2171,0.00
30,2097152,8,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1386,0.00
30,2097152,8,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,2097152,16,api,cudaDeviceSynchronize,938.3206,72.00
30,2097152,16,api,cudaMemcpy,325.7454,25.00
30,2097152,16,api,cudaMemcpyFromSymbol,16.6016,1.30
30,2097152,16,api,cudaFree,10.7422,0.80
30,2097152,16,api,cudaLaunchKernel,5.2839,0.40
30,2097152,16,api,cudaMalloc,4.2951,0.30
30,2097152,16,api,cudaEventRecord,1.0829,0.10
30,2097152,16,api,cudaEventCreate,0.2915,0.00
30,2097152,16,api,cudaEventDestroy,0.1761,0.00
30,2097152,16,api,cuGetProcAddress_v2,0.1646,0.00
30,2097152,16,api,cudaMemset,0.0115,0.00
30,2097152,16,api,cudaEventSynchronize,0.0087,0.00
30,2097152,16,api,cuModuleGetLoadingMode,0.0042,0.00
30,2097152,16,api,cuInit,0.0038,0.00
30,2097152,16,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",359.1647,38.10
30,2097152,16,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",339.0614,36.00
30,2097152,16,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",221.4993,23.50
30,2097152,16,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",16.3844,1.70
30,2097152,16,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",3.0920,0.30
30,2097152,16,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,2.3108,0.20
30,2097152,16,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2180,0.00
30,2097152,16,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1391,0.00
30,2097152,16,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,8388608,1,api,cudaDeviceSynchronize,3728.1752,67.70
30,8388608,1,api,cudaMemcpy,1750.4361,31.80
30,8388608,1,api,cudaFree,13.6775,0.20
30,8388608,1,api,cudaMemcpyFromSymbol,8.7561,0.20
30,8388608,1,api,cudaLaunchKernel,5.0934,0.10
30,8388608,1,api,cudaMalloc,1.9489,0.00
30,8388608,1,api,cudaEventRecord,0.9799,0.00
30,8388608,1,api,cudaEventCreate,0.3067,0.00
30,8388608,1,api,cuGetProcAddress_v2,0.1823,0.00
30,8388608,1,api,cudaEventDestroy,0.1607,0.00
30,8388608,1,api,cudaMemset,0.0109,0.00
30,8388608,1,api,cudaEventSynchronize,0.0066,0.00
30,8388608,1,api,cuInit,0.0045,0.00
30,8388608,1,api,cuModuleGetLoadingMode,0.0042,0.00
30,8388608,1,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",1436.6594,38.50
30,8388608,1,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1294.8127,34.70
30,8388608,1,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",907.4025,24.30
30,8388608,1,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",72.3486,1.90
30,8388608,1,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",12.6179,0.30
30,8388608,1,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,7.0951,0.20
30,8388608,1,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2509,0.00
30,8388608,1,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1652,0.00
30,8388608,1,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,8388608,2,api,cudaDeviceSynchronize,3735.3958,58.30
30,8388608,2,api,cudaMemcpy,2630.7435,41.00
30,8388608,2,api,cudaMemcpyFromSymbol,17.0037,0.30
30,8388608,2,api,cudaFree,15.0482,0.20
30,8388608,2,api,cudaLaunchKernel,6.2987,0.10
30,8388608,2,api,cudaMalloc,4.9478,0.10
30,8388608,2,api,cudaEventRecord,1.1604,0.00
30,8388608,2,api,cudaEventCreate,0.4158,0.00
30,8388608,2,api,cudaEventDestroy,0.2194,0.00
30,8388608,2,api,cuGetProcAddress_v2,0.1238,0.00
30,8388608,2,api,cudaMemset,0.0139,0.00
30,8388608,2,api,cudaEventSynchronize,0.0099,0.00
30,8388608,2,api,cuModuleGetLoadingMode,0.0047,0.00
30,8388608,2,api,cuInit,0.0031,0.00
30,8388608,2,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",1436.1500,38.40
30,8388608,2,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1302.3614,34.80
30,8388608,2,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",906.8738,24.30
30,8388608,2,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",73.4429,2.00
30,8388608,2,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",12.9112,0.30
30,8388608,2,kernel,void cub::CUB_200200_750_NS::DeviceReduceKernel<cub::CUB_200200_750_NS::DeviceReducePolicy<cub::CUB…,7.0997,0.20
30,8388608,2,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.2524,0.00
30,8388608,2,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1666,0.00
30,8388608,2,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0015,0.00
30,8388608,4,api,cudaDeviceSynchronize,3732.8210,67.60
30,8388608,4,api,cudaMemcpy,1746.3630,31.60
30,8388608,4,api,cudaFree,19.1983,0.30
30,8388608,4,api,cudaMemcpyFromSymbol,11.0097,0.20
30,8388608,4,api,cudaLaunchKernel,5.7182,0.10
30,8388608,4,api,cudaMalloc,5.0697,0.10
30,8388608,4,api,cudaEventRecord,1.0080,0.00
30,8388608,4,api,cudaEventCreate,0.3622,0.00
30,8388608,4,api,cuGetProcAddress_v2,0.1848,0.00
30,8388608,4,api,cudaEventDestroy,0.1763,0.00
30,8388608,4,api,cudaMemset,0.0107,0.00
30,8388608,4,api,cudaEventSynchronize,0.0068,0.00
30,8388608,4,api,cuModuleGetLoadingMode,0.0041,0.00
30,8388608,4,api,cuInit,0.0041,0.00
30,8388608,4,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",1436.3913,38.40
30,8388608,4,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1299.0476,34.80
